1.1. act 1, pred -1, sxs 0, qlty 2
4.8. act 1, pred 1, sxs 1, qlty 0
4.9. act 1, pred -1, sxs 0, qlty 2
4.10. act 1, pred 1, sxs 1, qlty 0
4.11. act 1, pred 1, sxs 1, qlty 0
4.12. act 1, pred 1, sxs 1, qlty 0
4.13. act 1, pred -1, sxs 0, qlty 2
4.14. act 1, pred -1, sxs 0, qlty 2
4.15. act 1, pred -1, sxs 0, qlty 2
4.16. act 1, pred 1, sxs 1, qlty 0
4.17. act 1, pred 1, sxs 1, qlty 0
4.18. act 1, pred -1, sxs 0, qlty 2
4.19. act 1, pred -1, sxs 0, qlty 2
4.20. act 1, pred -1, sxs 0, qlty 2
4.21. act 1, pred 1, sxs 1, qlty 0
4.22. act 1, pred -1, sxs 0, qlty 2
4.23. act 1, pred 1, sxs 1, qlty 0
4.24. act 1, pred 1, sxs 1, qlty 0
4.25. act 1, pred 1, sxs 1, qlty 0
4.26. act 1, pred -1, sxs 0, qlty 2
4.27. act 1, pred -1, sxs 0, qlty 2
4.28. act 1, pred 1, sxs 1, qlty 0
4.29. act 1, pred 1, sxs 1, qlty 0
4.30. act 1, pred -1, sxs 0, qlty 2
4.31. act 1, pred -1, sxs 0, qlty 2
5.1. act -1, pred 1, sxs 0, qlty 2
5.2. act -1, pred 1, sxs 0, qlty 2
5.3. act -1, pred 1, sxs 0, qlty 2
5.4. act -1, pred 1, sxs 0, qlty 2
5.5. act -1, pred -1, sxs 1, qlty 0
5.6. act -1, pred 1, sxs 0, qlty 2
5.7. act -1, pred 1, sxs 0, qlty 2
5.8. act -1, pred 1, sxs 0, qlty 2
5.9. act -1, pred -1, sxs 1, qlty 0
5.10. act -1, pred -1, sxs 1, qlty 0
5.11. act -1, pred 1, sxs 0, qlty 2
5.12. act -1, pred 1, sxs 0, qlty 2
5.13. act -1, pred 1, sxs 0, qlty 2
5.14. act -1, pred 1, sxs 0, qlty 2
5.15. act -1, pred 1, sxs 0, qlty 2
5.16. act -1, pred 1, sxs 0, qlty 2
5.17. act -1, pred 1, sxs 0, qlty 2
5.18. act -1, pred 1, sxs 0, qlty 2
5.19. act -1, pred 1, sxs 0, qlty 2
5.20. act -1, pred 1, sxs 0, qlty 2
5.21. act -1, pred 1, sxs 0, qlty 2
5.22. act -1, pred 1, sxs 0, qlty 2
5.23. act -1, pred 1, sxs 0, qlty 2
5.24. act -1, pred 1, sxs 0, qlty 2
5.25. act -1, pred 1, sxs 0, qlty 2
5.26. act -1, pred 1, sxs 0, qlty 2
5.27. act -1, pred 1, sxs 0, qlty 2
5.28. act -1, pred 1, sxs 0, qlty 2
5.29. act -1, pred 1, sxs 0, qlty 2
5.30. act -1, pred 1, sxs 0, qlty 2
5.31. act -1, pred 1, sxs 0, qlty 2
6.1. act -1, pred -1, sxs 1, qlty 0
6.2. act -1, pred -1, sxs 1, qlty 0
6.3. act -1, pred 1, sxs 0, qlty 2
6.4. act -1, pred 1, sxs 0, qlty 2
6.5. act -1, pred -1, sxs 1, qlty 0
6.6. act -1, pred -1, sxs 1, qlty 0
6.7. act -1, pred -1, sxs 1, qlty 0
6.8. act -1, pred -1, sxs 1, qlty 0
6.9. act -1, pred -1, sxs 1, qlty 0
6.10. act -1, pred -1, sxs 1, qlty 0
6.11. act -1, pred -1, sxs 1, qlty 0
6.12. act -1, pred -1, sxs 1, qlty 0
6.13. act -1, pred 1, sxs 0, qlty 2
6.14. act -1, pred -1, sxs 1, qlty 0
6.15. act -1, pred -1, sxs 1, qlty 0
6.16. act -1, pred -1, sxs 1, qlty 0
6.17. act -1, pred -1, sxs 1, qlty 0
6.18. act -1, pred 1, sxs 0, qlty 2
6.19. act -1, pred -1, sxs 1, qlty 0
6.20. act -1, pred -1, sxs 1, qlty 0
6.21. act -1, pred -1, sxs 1, qlty 0
6.22. act -1, pred -1, sxs 1, qlty 0
6.23. act -1, pred -1, sxs 1, qlty 0
6.24. act -1, pred -1, sxs 1, qlty 0
6.25. act -1, pred 1, sxs 0, qlty 2
6.26. act -1, pred -1, sxs 1, qlty 0
6.27. act -1, pred 1, sxs 0, qlty 2
6.28. act -1, pred 1, sxs 0, qlty 2
6.29. act -1, pred -1, sxs 1, qlty 0
6.30. act -1, pred -1, sxs 1, qlty 0
6.31. act -1, pred -1, sxs 1, qlty 0
7.1. act 1, pred -1, sxs 0, qlty 2
7.2. act 1, pred 1, sxs 1, qlty 0
7.3. act 1, pred 1, sxs 1, qlty 0
7.4. act 1, pred 1, sxs 1, qlty 0
7.5. act 1, pred 1, sxs 1, qlty 0
7.6. act 1, pred -1, sxs 0, qlty 2
7.7. act 1, pred 1, sxs 1, qlty 0
7.8. act 1, pred 1, sxs 1, qlty 0
7.9. act 1, pred 1, sxs 1, qlty 0
7.10. act 1, pred -1, sxs 0, qlty 2
7.11. act 1, pred 1, sxs 1, qlty 0
7.12. act 1, pred 1, sxs 1, qlty 0
7.13. act 1, pred 1, sxs 1, qlty 0
7.14. act 1, pred 1, sxs 1, qlty 0
7.15. act 1, pred -1, sxs 0, qlty 2
7.16. act 1, pred -1, sxs 0, qlty 2
7.17. act 1, pred 1, sxs 1, qlty 0
7.18. act 1, pred 1, sxs 1, qlty 0
7.19. act 1, pred 1, sxs 1, qlty 0
7.20. act 1, pred -1, sxs 0, qlty 2
7.21. act 1, pred -1, sxs 0, qlty 2
7.22. act 1, pred 1, sxs 1, qlty 0
7.23. act 1, pred -1, sxs 0, qlty 4
7.24. act 1, pred -1, sxs 0, qlty 2
7.25. act 1, pred -1, sxs 0, qlty 2
7.26. act 1, pred 1, sxs 1, qlty 0
7.27. act 1, pred -1, sxs 0, qlty 4
7.28. act 1, pred -1, sxs 0, qlty 2
7.29. act 1, pred 1, sxs 1, qlty 0
7.30. act 1, pred 1, sxs 1, qlty 0
7.31. act 1, pred 1, sxs 1, qlty 0
8.1. act -1, pred -1, sxs 1, qlty 0
8.2. act -1, pred -1, sxs 1, qlty 0
8.3. act -1, pred 1, sxs 0, qlty 2
8.4. act -1, pred 1, sxs 0, qlty 2
8.5. act -1, pred 1, sxs 0, qlty 2
8.6. act -1, pred -1, sxs 1, qlty 0
8.7. act -1, pred -1, sxs 1, qlty 0
8.8. act -1, pred -1, sxs 1, qlty 0
8.9. act -1, pred 1, sxs 0, qlty 2
8.10. act -1, pred -1, sxs 1, qlty 0
8.11. act -1, pred -1, sxs 1, qlty 0
8.12. act -1, pred -1, sxs 1, qlty 0
8.13. act -1, pred 1, sxs 0, qlty 2
8.14. act -1, pred -1, sxs 1, qlty 0
8.15. act -1, pred -1, sxs 1, qlty 0
8.16. act -1, pred -1, sxs 1, qlty 0
8.17. act -1, pred 1, sxs 0, qlty 2
8.18. act -1, pred 1, sxs 0, qlty 2
8.19. act -1, pred -1, sxs 1, qlty 0
8.20. act -1, pred -1, sxs 1, qlty 0
8.21. act -1, pred -1, sxs 1, qlty 0
8.22. act -1, pred -1, sxs 1, qlty 0
8.23. act -1, pred -1, sxs 1, qlty 0
8.24. act -1, pred -1, sxs 1, qlty 0
8.25. act -1, pred -1, sxs 1, qlty 0
8.26. act -1, pred -1, sxs 1, qlty 0
8.27. act -1, pred -1, sxs 1, qlty 0
8.28. act -1, pred 1, sxs 0, qlty 2
8.29. act -1, pred -1, sxs 1, qlty 0
8.30. act -1, pred 1, sxs 0, qlty 2
8.31. act -1, pred -1, sxs 1, qlty 0
9.1. act -1, pred -1, sxs 1, qlty 0
9.2. act -1, pred -1, sxs 1, qlty 0
9.3. act -1, pred -1, sxs 1, qlty 0
9.4. act -1, pred -1, sxs 1, qlty 0
9.5. act -1, pred 1, sxs 0, qlty 2
9.6. act -1, pred -1, sxs 1, qlty 0
9.7. act -1, pred -1, sxs 1, qlty 0
9.8. act -1, pred -1, sxs 1, qlty 0
9.9. act -1, pred -1, sxs 1, qlty 0
9.10. act -1, pred -1, sxs 1, qlty 0
9.11. act -1, pred -1, sxs 1, qlty 0
9.12. act -1, pred -1, sxs 1, qlty 0
9.13. act -1, pred -1, sxs 1, qlty 0
9.14. act -1, pred -1, sxs 1, qlty 0
9.15. act -1, pred -1, sxs 1, qlty 0
9.16. act -1, pred -1, sxs 1, qlty 0
9.17. act -1, pred -1, sxs 1, qlty 0
9.18. act -1, pred -1, sxs 1, qlty 0
9.19. act -1, pred -1, sxs 1, qlty 0
9.20. act -1, pred -1, sxs 1, qlty 0
9.21. act -1, pred -1, sxs 1, qlty 0
9.22. act -1, pred -1, sxs 1, qlty 0
9.23. act -1, pred -1, sxs 1, qlty 0
9.24. act -1, pred -1, sxs 1, qlty 0
9.25. act -1, pred -1, sxs 1, qlty 0
9.26. act -1, pred -1, sxs 1, qlty 0
9.27. act -1, pred -1, sxs 1, qlty 0
9.28. act -1, pred -1, sxs 1, qlty 0
9.29. act -1, pred -1, sxs 1, qlty 0
9.30. act -1, pred -1, sxs 1, qlty 0
9.31. act -1, pred -1, sxs 1, qlty 0
10.1. act -1, pred 1, sxs 0, qlty 2
10.2. act -1, pred 1, sxs 0, qlty 2
10.3. act -1, pred 1, sxs 0, qlty 2
10.4. act -1, pred 1, sxs 0, qlty 2
10.5. act -1, pred 1, sxs 0, qlty 2
10.6. act -1, pred 1, sxs 0, qlty 2
10.7. act -1, pred 1, sxs 0, qlty 2
10.8. act -1, pred 1, sxs 0, qlty 2
10.9. act -1, pred 1, sxs 0, qlty 2
10.10. act -1, pred 1, sxs 0, qlty 2
10.11. act -1, pred 1, sxs 0, qlty 2
10.12. act -1, pred 1, sxs 0, qlty 2
10.13. act -1, pred 1, sxs 0, qlty 2
10.14. act -1, pred 1, sxs 0, qlty 2
10.15. act -1, pred 1, sxs 0, qlty 2
10.16. act -1, pred 1, sxs 0, qlty 2
10.17. act -1, pred 1, sxs 0, qlty 2
10.18. act -1, pred 1, sxs 0, qlty 2
10.19. act -1, pred 1, sxs 0, qlty 2
10.20. act -1, pred 1, sxs 0, qlty 2
10.21. act -1, pred 1, sxs 0, qlty 2
10.22. act -1, pred 1, sxs 0, qlty 2
10.23. act -1, pred 1, sxs 0, qlty 4
10.24. act -1, pred 1, sxs 0, qlty 2
10.25. act -1, pred 1, sxs 0, qlty 2
10.26. act -1, pred 1, sxs 0, qlty 2
10.27. act -1, pred 1, sxs 0, qlty 2
10.28. act -1, pred 1, sxs 0, qlty 2
10.29. act -1, pred 1, sxs 0, qlty 2
10.30. act -1, pred 1, sxs 0, qlty 2
10.31. act -1, pred 1, sxs 0, qlty 2
11.1. act 1, pred 1, sxs 1, qlty 0
11.2. act 1, pred -1, sxs 0, qlty 2
11.3. act 1, pred 1, sxs 1, qlty 0
11.4. act 1, pred -1, sxs 0, qlty 2
11.5. act 1, pred -1, sxs 0, qlty 2
11.6. act 1, pred -1, sxs 0, qlty 2
11.7. act 1, pred -1, sxs 0, qlty 2
11.8. act 1, pred 1, sxs 1, qlty 0
11.9. act 1, pred -1, sxs 0, qlty 2
11.10. act 1, pred 1, sxs 1, qlty 0
11.11. act 1, pred -1, sxs 0, qlty 2
11.12. act 1, pred 1, sxs 1, qlty 0
11.13. act 1, pred 1, sxs 1, qlty 0
11.14. act 1, pred 1, sxs 1, qlty 0
11.15. act 1, pred -1, sxs 0, qlty 2
11.16. act 1, pred 1, sxs 1, qlty 0
11.17. act 1, pred 1, sxs 1, qlty 0
11.18. act 1, pred 1, sxs 1, qlty 0
11.19. act 1, pred 1, sxs 1, qlty 0
11.20. act 1, pred -1, sxs 0, qlty 2
11.21. act 1, pred 1, sxs 1, qlty 0
11.22. act 1, pred -1, sxs 0, qlty 2
11.23. act 1, pred 1, sxs 1, qlty 0
11.24. act 1, pred 1, sxs 1, qlty 0
11.25. act 1, pred -1, sxs 0, qlty 2
11.26. act 1, pred 1, sxs 1, qlty 0
11.27. act 1, pred -1, sxs 0, qlty 4
11.28. act 1, pred -1, sxs 0, qlty 2
11.29. act 1, pred 1, sxs 1, qlty 0
11.30. act 1, pred -1, sxs 0, qlty 2
11.31. act 1, pred -1, sxs 0, qlty 2
12.1. act 1, pred -1, sxs 0, qlty 2
12.2. act 1, pred -1, sxs 0, qlty 2
12.3. act 1, pred -1, sxs 0, qlty 2
12.4. act 1, pred -1, sxs 0, qlty 2
12.5. act 1, pred -1, sxs 0, qlty 2
12.6. act 1, pred -1, sxs 0, qlty 2
12.7. act 1, pred -1, sxs 0, qlty 2
12.8. act 1, pred -1, sxs 0, qlty 2
12.9. act 1, pred -1, sxs 0, qlty 2
12.10. act 1, pred -1, sxs 0, qlty 2
12.11. act 1, pred -1, sxs 0, qlty 2
12.12. act 1, pred -1, sxs 0, qlty 2
12.13. act 1, pred -1, sxs 0, qlty 2
12.14. act 1, pred -1, sxs 0, qlty 2
12.15. act 1, pred -1, sxs 0, qlty 2
12.16. act 1, pred -1, sxs 0, qlty 2
12.17. act 1, pred -1, sxs 0, qlty 2
12.18. act 1, pred -1, sxs 0, qlty 2
12.19. act 1, pred -1, sxs 0, qlty 2
12.20. act 1, pred -1, sxs 0, qlty 2
12.21. act 1, pred -1, sxs 0, qlty 2
12.22. act 1, pred -1, sxs 0, qlty 2
12.23. act 1, pred -1, sxs 0, qlty 2
12.24. act 1, pred -1, sxs 0, qlty 2
12.25. act 1, pred -1, sxs 0, qlty 2
12.26. act 1, pred -1, sxs 0, qlty 2
12.27. act 1, pred -1, sxs 0, qlty 2
12.28. act 1, pred -1, sxs 0, qlty 2
12.29. act 1, pred -1, sxs 0, qlty 2
12.30. act 1, pred -1, sxs 0, qlty 2
12.31. act 1, pred -1, sxs 0, qlty 2
13.1. act 1, pred -1, sxs 0, qlty 2
13.2. act 1, pred -1, sxs 0, qlty 2
13.3. act 1, pred -1, sxs 0, qlty 4
13.4. act 1, pred -1, sxs 0, qlty 2
13.5. act 1, pred -1, sxs 0, qlty 2
13.6. act 1, pred -1, sxs 0, qlty 2
13.7. act 1, pred 1, sxs 1, qlty 2
13.8. act 1, pred 1, sxs 1, qlty 2
13.9. act 1, pred 1, sxs 1, qlty 0
13.10. act 1, pred 1, sxs 1, qlty 0
13.11. act 1, pred -1, sxs 0, qlty 2
13.12. act 1, pred -1, sxs 0, qlty 2
13.13. act 1, pred -1, sxs 0, qlty 2
13.14. act 1, pred 1, sxs 1, qlty 0
13.15. act 1, pred -1, sxs 0, qlty 2
13.16. act 1, pred -1, sxs 0, qlty 2
13.17. act 1, pred -1, sxs 0, qlty 2
13.18. act 1, pred -1, sxs 0, qlty 4
13.19. act 1, pred 1, sxs 1, qlty 0
13.20. act 1, pred -1, sxs 0, qlty 2
13.21. act 1, pred -1, sxs 0, qlty 2
13.22. act 1, pred -1, sxs 0, qlty 2
13.23. act 1, pred -1, sxs 0, qlty 2
13.24. act 1, pred -1, sxs 0, qlty 2
13.25. act 1, pred 1, sxs 1, qlty 0
13.26. act 1, pred -1, sxs 0, qlty 2
13.27. act 1, pred 1, sxs 1, qlty 0
13.28. act 1, pred -1, sxs 0, qlty 4
13.29. act 1, pred -1, sxs 0, qlty 2
13.30. act 1, pred -1, sxs 0, qlty 2
13.31. act 1, pred -1, sxs 0, qlty 2
14.1. act -1, pred -1, sxs 1, qlty 0
14.2. act -1, pred 1, sxs 0, qlty 2
14.3. act -1, pred -1, sxs 1, qlty 0
14.4. act -1, pred -1, sxs 1, qlty 0
14.5. act -1, pred 1, sxs 0, qlty 2
14.6. act -1, pred -1, sxs 1, qlty 0
14.7. act -1, pred 1, sxs 0, qlty 2
14.8. act -1, pred 1, sxs 0, qlty 2
14.9. act -1, pred -1, sxs 1, qlty 0
14.10. act -1, pred -1, sxs 1, qlty 0
14.11. act -1, pred -1, sxs 1, qlty 0
14.12. act -1, pred -1, sxs 1, qlty 0
14.13. act -1, pred 1, sxs 0, qlty 2
14.14. act -1, pred 1, sxs 0, qlty 2
14.15. act -1, pred 1, sxs 0, qlty 4
14.16. act -1, pred 1, sxs 0, qlty 2
14.17. act -1, pred 1, sxs 0, qlty 2
14.18. act -1, pred -1, sxs 1, qlty 0
14.19. act -1, pred -1, sxs 1, qlty 2
14.20. act -1, pred -1, sxs 1, qlty 0
14.21. act -1, pred -1, sxs 1, qlty 0
14.22. act -1, pred 1, sxs 0, qlty 4
14.23. act -1, pred -1, sxs 1, qlty 0
14.24. act -1, pred 1, sxs 0, qlty 2
14.25. act -1, pred -1, sxs 1, qlty 0
14.26. act -1, pred -1, sxs 1, qlty 0
14.27. act -1, pred -1, sxs 1, qlty 0
14.28. act -1, pred 1, sxs 0, qlty 2
14.29. act -1, pred 1, sxs 0, qlty 2
14.30. act -1, pred -1, sxs 1, qlty 0
14.31. act -1, pred 1, sxs 0, qlty 2
15.1. act -1, pred -1, sxs 1, qlty 0
15.2. act -1, pred -1, sxs 1, qlty 2
15.3. act -1, pred 1, sxs 0, qlty 2
15.4. act -1, pred -1, sxs 1, qlty 0
15.5. act -1, pred -1, sxs 1, qlty 0
15.6. act -1, pred 1, sxs 0, qlty 2
15.7. act -1, pred -1, sxs 1, qlty 0
15.8. act -1, pred -1, sxs 1, qlty 0
15.9. act -1, pred -1, sxs 1, qlty 0
15.10. act -1, pred 1, sxs 0, qlty 2
15.11. act -1, pred -1, sxs 1, qlty 0
15.12. act -1, pred 1, sxs 0, qlty 2
15.13. act -1, pred -1, sxs 1, qlty 0
15.14. act -1, pred -1, sxs 1, qlty 0
15.15. act -1, pred -1, sxs 1, qlty 0
15.16. act -1, pred 1, sxs 0, qlty 2
15.17. act -1, pred 1, sxs 0, qlty 2
15.18. act -1, pred -1, sxs 1, qlty 0
15.19. act -1, pred -1, sxs 1, qlty 0
15.20. act -1, pred -1, sxs 1, qlty 0
15.21. act -1, pred -1, sxs 1, qlty 0
15.22. act -1, pred -1, sxs 1, qlty 2
15.23. act -1, pred -1, sxs 1, qlty 0
15.24. act -1, pred -1, sxs 1, qlty 0
15.25. act -1, pred -1, sxs 1, qlty 0
15.26. act -1, pred -1, sxs 1, qlty 0
15.27. act -1, pred -1, sxs 1, qlty 0
15.28. act -1, pred -1, sxs 1, qlty 0
15.29. act -1, pred -1, sxs 1, qlty 0
15.30. act -1, pred -1, sxs 1, qlty 0
15.31. act -1, pred 1, sxs 0, qlty 4
16.1. act 1, pred -1, sxs 0, qlty 2
16.2. act 1, pred -1, sxs 0, qlty 2
16.3. act 1, pred -1, sxs 0, qlty 2
16.4. act 1, pred -1, sxs 0, qlty 2
16.5. act 1, pred -1, sxs 0, qlty 2
16.6. act 1, pred -1, sxs 0, qlty 2
16.7. act 1, pred -1, sxs 0, qlty 4
16.8. act 1, pred -1, sxs 0, qlty 2
16.9. act 1, pred -1, sxs 0, qlty 2
16.10. act 1, pred -1, sxs 0, qlty 2
16.11. act 1, pred -1, sxs 0, qlty 2
16.12. act 1, pred -1, sxs 0, qlty 2
16.13. act 1, pred -1, sxs 0, qlty 2
16.14. act 1, pred -1, sxs 0, qlty 2
16.15. act 1, pred -1, sxs 0, qlty 2
16.16. act 1, pred -1, sxs 0, qlty 2
16.17. act 1, pred -1, sxs 0, qlty 2
16.18. act 1, pred -1, sxs 0, qlty 4
16.19. act 1, pred -1, sxs 0, qlty 2
16.20. act 1, pred -1, sxs 0, qlty 2
16.21. act 1, pred 1, sxs 1, qlty 0
16.22. act 1, pred -1, sxs 0, qlty 2
16.23. act 1, pred -1, sxs 0, qlty 2
16.24. act 1, pred -1, sxs 0, qlty 2
16.25. act 1, pred -1, sxs 0, qlty 2
16.26. act 1, pred -1, sxs 0, qlty 2
16.27. act 1, pred -1, sxs 0, qlty 2
16.28. act 1, pred -1, sxs 0, qlty 2
16.29. act 1, pred -1, sxs 0, qlty 2
16.30. act 1, pred -1, sxs 0, qlty 2
16.31. act 1, pred -1, sxs 0, qlty 2
17.1. act -1, pred 1, sxs 0, qlty 2
17.2. act -1, pred 1, sxs 0, qlty 2
17.3. act -1, pred 1, sxs 0, qlty 2
17.4. act -1, pred -1, sxs 1, qlty 0
17.5. act -1, pred 1, sxs 0, qlty 2
17.6. act -1, pred 1, sxs 0, qlty 2
17.7. act -1, pred 1, sxs 0, qlty 2
17.8. act -1, pred -1, sxs 1, qlty 0
17.9. act -1, pred 1, sxs 0, qlty 2
17.10. act -1, pred 1, sxs 0, qlty 2
17.11. act -1, pred -1, sxs 1, qlty 0
17.12. act -1, pred 1, sxs 0, qlty 2
17.13. act -1, pred 1, sxs 0, qlty 2
17.14. act -1, pred 1, sxs 0, qlty 2
17.15. act -1, pred 1, sxs 0, qlty 2
17.16. act -1, pred 1, sxs 0, qlty 2
17.17. act -1, pred 1, sxs 0, qlty 2
17.18. act -1, pred 1, sxs 0, qlty 2
17.19. act -1, pred 1, sxs 0, qlty 2
17.20. act -1, pred 1, sxs 0, qlty 2
17.21. act -1, pred 1, sxs 0, qlty 2
17.22. act -1, pred 1, sxs 0, qlty 2
17.23. act -1, pred -1, sxs 1, qlty 0
17.24. act -1, pred 1, sxs 0, qlty 2
17.25. act -1, pred 1, sxs 0, qlty 2
17.26. act -1, pred 1, sxs 0, qlty 2
17.27. act -1, pred 1, sxs 0, qlty 2
17.28. act -1, pred 1, sxs 0, qlty 2
17.29. act -1, pred 1, sxs 0, qlty 2
17.30. act -1, pred 1, sxs 0, qlty 2
17.31. act -1, pred 1, sxs 0, qlty 4
18.1. act -1, pred -1, sxs 1, qlty 0
18.2. act -1, pred 1, sxs 0, qlty 4
18.3. act -1, pred 1, sxs 0, qlty 2
18.4. act -1, pred 1, sxs 0, qlty 2
18.5. act -1, pred -1, sxs 1, qlty 0
18.6. act -1, pred 1, sxs 0, qlty 2
18.7. act -1, pred 1, sxs 0, qlty 2
18.8. act -1, pred 1, sxs 0, qlty 2
18.9. act -1, pred -1, sxs 1, qlty 0
18.10. act -1, pred -1, sxs 1, qlty 0
18.11. act -1, pred 1, sxs 0, qlty 4
18.12. act -1, pred -1, sxs 1, qlty 0
18.13. act -1, pred 1, sxs 0, qlty 2
18.14. act -1, pred -1, sxs 1, qlty 0
18.15. act -1, pred -1, sxs 1, qlty 0
18.16. act -1, pred -1, sxs 1, qlty 0
18.17. act -1, pred -1, sxs 1, qlty 0
18.18. act -1, pred 1, sxs 0, qlty 2
18.19. act -1, pred -1, sxs 1, qlty 0
18.20. act -1, pred 1, sxs 0, qlty 2
18.21. act -1, pred 1, sxs 0, qlty 2
18.22. act -1, pred -1, sxs 1, qlty 0
18.23. act -1, pred 1, sxs 0, qlty 2
18.24. act -1, pred -1, sxs 1, qlty 0
18.25. act -1, pred 1, sxs 0, qlty 2
18.26. act -1, pred 1, sxs 0, qlty 2
18.27. act -1, pred -1, sxs 1, qlty 0
18.28. act -1, pred -1, sxs 1, qlty 2
18.29. act -1, pred 1, sxs 0, qlty 2
18.30. act -1, pred -1, sxs 1, qlty 0
18.31. act -1, pred -1, sxs 1, qlty 0
