17.29. act -1, pred -1, sxs 1, qlty 12
17.30. act -1, pred 1, sxs 0, qlty 2
17.31. act -1, pred 1, sxs 0, qlty 12
18.1. act -1, pred -1, sxs 1, qlty 0
18.2. act -1, pred -1, sxs 1, qlty 6
18.3. act -1, pred 1, sxs 0, qlty 4
18.4. act -1, pred -1, sxs 1, qlty 8
18.5. act -1, pred 1, sxs 0, qlty 2
18.6. act -1, pred 1, sxs 0, qlty 12
18.7. act -1, pred 1, sxs 0, qlty 4
18.8. act -1, pred -1, sxs 1, qlty 8
18.9. act -1, pred -1, sxs 1, qlty 0
18.10. act -1, pred 1, sxs 0, qlty 10
18.11. act -1, pred 1, sxs 0, qlty 2
18.12. act -1, pred -1, sxs 1, qlty 14
18.13. act -1, pred -1, sxs 1, qlty 2
18.14. act -1, pred 1, sxs 0, qlty 2
18.15. act -1, pred -1, sxs 1, qlty 8
18.16. act -1, pred -1, sxs 1, qlty 0
18.17. act -1, pred -1, sxs 1, qlty 4
18.18. act -1, pred -1, sxs 1, qlty 0
18.19. act -1, pred 1, sxs 0, qlty 10
18.20. act -1, pred -1, sxs 1, qlty 2
18.21. act -1, pred -1, sxs 1, qlty 14
18.22. act -1, pred 1, sxs 0, qlty 2
18.23. act -1, pred -1, sxs 1, qlty 10
18.24. act -1, pred -1, sxs 1, qlty 2
18.25. act -1, pred -1, sxs 1, qlty 8
18.26. act -1, pred -1, sxs 1, qlty 0
18.27. act -1, pred 1, sxs 0, qlty 10
18.28. act -1, pred -1, sxs 1, qlty 2
18.29. act -1, pred 1, sxs 0, qlty 14
18.30. act -1, pred 1, sxs 0, qlty 4
18.31. act -1, pred -1, sxs 1, qlty 10
19.1. act -1, pred -1, sxs 1, qlty 0
